filename,vertexes,edges,veo,VertexRankingSimilarity,vertexEdgeSimilarity,shingles,minHash400,signature128,signature512
web-baidu-baike_sub_1000k_.txt,1000000,3884656,0.9491,2.1903,3.5634,3.1849,28.6604,6.7287,15.6649
web-baidu-baike_sub_100k_.txt,100000,39759,0.0029,0.0786,0.0521,0.1464,0.7606,0.1518,0.4062
web-baidu-baike_sub_10k_.txt,10000,327,0.0003,0.0043,0.0023,0.0083,0.0663,0.0125,0.0316
